index,enmo__sum_values,enmo__median,enmo__mean,enmo__length,enmo__standard_deviation,enmo__variance,enmo__root_mean_square,enmo__maximum,enmo__absolute_maximum,enmo__minimum,light__sum_values,light__median,light__mean,light__length,light__standard_deviation,light__variance,light__root_mean_square,light__maximum,light__absolute_maximum,light__minimum,hour__sum_values,hour__median,hour__mean,hour__length,hour__standard_deviation,hour__variance,hour__root_mean_square,hour__maximum,hour__absolute_maximum,hour__minimum,weekday__sum_values,weekday__median,weekday__mean,weekday__length,weekday__standard_deviation,weekday__variance,weekday__root_mean_square,weekday__maximum,weekday__absolute_maximum,weekday__minimum,relative_date_PCIAT__sum_values,relative_date_PCIAT__median,relative_date_PCIAT__mean,relative_date_PCIAT__length,relative_date_PCIAT__standard_deviation,relative_date_PCIAT__variance,relative_date_PCIAT__root_mean_square,relative_date_PCIAT__maximum,relative_date_PCIAT__absolute_maximum,relative_date_PCIAT__minimum,kid_id,peak_movement_hour,peak_light_hour,avg_movement_day,avg_movement_night
0,16575.51758,0.0271216426,0.0615423806,269335,0.1293691993,0.01673638821,0.1432615072,4.56830883,4.56830883,0,11168904,5.495555401,41.46844482,269335,180.0457153,32416.45898,184.7595825,2659.666748,2659.666748,0,3425495,13,12.71834333,269335,4.800875968,23.04841006,13.59428803,23,23,0,1081590,4,4.015779605,269335,1.998951715,3.995807959,4.48578798,7,7,1,12394817,45,46.02007675,269335,9.288788795,86.28159332,46.94815063,63,63,28,0d01bbf2,13,9,0.06363931,0.02239381
1,9675.320313,0.006272476166,0.02346487902,412332,0.05236938596,0.002742552431,0.05738600343,3.006919384,3.006919384,0,28375866,7.405453205,68.81800842,412332,278.5205994,77573.71875,286.8965759,2648,2648,0,4746612,12,11.51162655,412332,6.940075788,48.16465194,13.44180783,23,23,0,1570812,4,3.809580629,412332,1.971709091,3.887636741,4.289585214,7,7,1,10273596,25,24.91583443,412332,6.899607182,47.60457993,25.85349846,37,37,13,cefdb7fe,14,10,0.029442329,0.005670204
2,1843.570435,7.88E-05,0.004798115697,384228,0.02789359912,0.0007780528395,0.02830326185,4.491223812,4.491223812,0,3717369.5,6.103775978,9.674904823,384228,47.17124176,2225.126221,48.15319443,1157.25,1157.25,0,13946388,36,36.29716873,384228,6.423705101,41.26398468,36.86120605,47,47,25,4447872,12,11.57612667,384228,6.926731685,47.97961183,13.49023056,23,23,0,1574124,4,4.096848746,384228,1.986907646,3.947801994,4.55323749,7,7,1,58391429,20,15,0.005278362,0.003336815
3,14166.55273,0.02203010023,0.04541158676,311959,0.09561479092,0.009142188355,0.105850853,4.054966927,4.054966927,0,41480744,7.046413422,132.9685822,311959,434.8716125,189113.3125,454.7461243,2648.5,2648.5,0,1201532,4,3.851570238,311959,1.985376602,3.941720253,4.333164381,7,7,1,4053322,13,12.9931241,311959,4.986374278,24.86392844,13.91708311,23,23,0,15020114,48,48.14771652,311959,9.503012657,90.30725861,49.07657623,67,67,31,2ca2206f,16,15,0.0469217,0.015437783
4,7125.649414,0.009630361572,0.01889290847,377160,0.07573700696,0.005736094434,0.07805790752,5.087604523,5.087604523,0,4342224,12,11.51294941,377160,6.947226709,48.26395894,13.44663389,23,23,0,4006458.75,6.641017914,10.62270355,377160,39.83995819,1587.22229,41.23183441,2408.199951,2408.199951,0,7517328,20,19.93140221,377160,6.313080311,39.85498047,20.90731621,31,31,9,1514604,4,4.015812918,377160,1.965735284,3.864115208,4.471114917,7,7,1,19455336,12,12,0.023003606,0.0066905688
5,1136.821045,9.48E-06,0.00215807301,526776,0.01988532022,0.0003954259446,0.02000208199,2.261413097,2.261413097,0,13586578,6.011971474,25.79194641,526776,56.42359161,3183.621582,62.03907394,1770.199951,1770.199951,0,37165016,70,70.55184174,526776,8.966729164,80.40223694,71.11937714,86,86,55,6058835,11,11.50172939,526776,6.881437474,47.35418171,13.40313249,23,23,0,2037966,4,3.868752563,526776,2.038918782,4.157189801,4.373149459,7,7,1,ca33a5e7,17,8,0.0026140956,0.00076053385
6,5763.48291,0.02437417209,0.06725811958,85692,0.1665986478,0.02775510773,0.1796629131,5.037907124,5.037907124,0,1116889,13,13.03376044,85692,4.697589776,22.06734971,13.85446719,23,23,0,5347168,6.5,62.39984894,85692,265.8356628,70668.59375,273.0610657,2615.199951,2615.199951,0,332248,4,3.877234748,85692,1.309217934,1.714051598,4.09230997,7,7,1,3252098,36,37.95101166,85692,9.273587227,85.9994278,39.06761551,53,53,14,92bb8516,15,16,0.069106966,0.018570686
7,13938.03223,0.03108838201,0.08653991669,161059,0.1831118613,0.03352995589,0.2025317401,5.086066246,5.086066246,0,16324795,6.065235138,101.3591003,161059,361.4438782,130641.6719,375.3869019,2650.399902,2650.399902,0,2261417,14,14.04092289,161059,5.036374977,25.36507291,14.91685585,23,23,0,617284,4,3.832657598,161059,2.018848018,4.07574732,4.33186006,7,7,1,6470997,33,40.17780304,161059,19.75264549,390.1669922,44.77078247,97,97,23,2812951b,16,16,0.089486286,0.018711764
8,86274.88281,5.333333492,10.54576206,8181,15.38272476,236.6282349,18.65050507,266,266,0,139128,18,17.00623396,8181,5.35525247,28.67872901,17.82949025,23,23,0,434.6159668,0.01769578271,0.05312504247,8181,0.1551660299,0.02407649718,0.1640084386,3.429290056,3.429290056,0,25068,3,3.064173084,8181,0.2450610113,0.06005489927,3.073956992,4,4,3,57792,7,7.064173222,8181,0.2450609803,0.06005488709,7.068422318,8,8,7,6b6467f4,17,21,0.056096554,0.009792035
9,16960.70313,0.01245993935,0.06086172909,278676,0.1777510643,0.03159544244,0.1878818721,4.794266224,4.794266224,0,33766236,9.893938065,121.1666489,278676,379.6308289,144119.5625,398.498291,2636.75,2636.75,0,1041444,3,3.737114068,278676,1.999290248,3.997161494,4.238299547,7,7,1,3205152,12,11.50135641,278676,6.895394948,47.54647148,13.409984,23,23,0,2231424,8,8.007234573,278676,4.672777653,21.83485031,9.270956993,16,16,0,9d6b1410,12,11,0.07696804,0.0120311035
