kid_id,max_movement_day,min_movement_day,median_movement_day,std_movement_day,range_movement_day,max_movement_night,min_movement_night,median_movement_night,std_movement_night,range_movement_night,avg_light_day,max_light_day,min_light_day,median_light_day,std_light_day,range_light_day,avg_light_night,max_light_night,min_light_night,median_light_night,std_light_night,range_light_night,non_wear_rate,max_avg_movement_10min_mean,max_avg_movement_10min_max,max_avg_movement_10min_min,max_avg_movement_10min_median,max_avg_movement_10min_std,max_avg_movement_30min_mean,max_avg_movement_30min_max,max_avg_movement_30min_min,max_avg_movement_30min_median,max_avg_movement_30min_std,max_avg_movement_60min_mean,max_avg_movement_60min_max,max_avg_movement_60min_min,max_avg_movement_60min_median,max_avg_movement_60min_std
0d01bbf2,4.568309,0.0,0.028762536,0.13343652,4.568309,1.3028805,0.0,0.006664709,0.045946088,1.3028805,44.277916,2659.6667,0.0,5.919725,186.87352,2659.6667,6.784649,321.0,0.0,2.637756,13.77319,321.0,0.0,0.370102840746807,0.954479558431437,0.0437539334311926,0.334860838793975,0.240414406395108,0.216452830375645,0.477005683084816,0.0316788366627659,0.188474528642655,0.13560103544388,0.15904873884347,0.324971054444145,0.0255641377281134,0.141758188699123,0.0856995051959145
cefdb7fe,3.0069194,0.0,0.012862457,0.060110644,3.0069194,0.484738,0.0,0.00016894261,0.014954049,0.484738,92.816696,2648.0,0.0,7.7916665,328.18747,2648.0,11.009286,1324.6,0.0,6.9220166,16.108265,1324.6,0.212736338678541,0.182526002596028,0.488383152609458,0.102533007259141,0.1612291433538,0.0788529775916227,0.114780394427161,0.183956347703109,0.0577537703200076,0.118288601203298,0.0334816665665007,0.0902705653767289,0.155375871960132,0.0436686494007037,0.0960045792164743,0.0266795453075117
58391429,4.491224,0.0,7.808924e-05,0.03230417,4.491224,0.43443802,0.0,8.175492e-05,0.011011224,0.43443802,10.6671715,1157.25,0.0,5.640255,55.786575,1157.25,7.2287145,105.4,0.0,6.5873203,5.478942,105.4,0.603144487127435,0.0846456437753957,0.684555670556923,8.63337182005116e-06,0.0292983680032194,0.150900161996055,0.0387510144907479,0.287912976398482,2.96071722672369e-06,0.0180926721320146,0.0614367392255258,0.0244355147500757,0.143956645038929,2.09391227325995e-06,0.013284808441919,0.0322407726730434
2ca2206f,4.054967,0.0,0.02305318,0.09922067,4.054967,0.7979384,0.0,0.008051669,0.03537787,0.7979384,144.44748,2648.5,0.0,7.5005116,453.82303,2648.5,15.05004,1535.0,0.0,5.134659,29.171011,1535.0,0.0,0.277210581591153,0.765799479939354,0.0326873478997186,0.238684028731708,0.15195168772555,0.200527673098342,0.621212821905889,0.0347418871566173,0.178602551071183,0.11243288260636,0.150381413243337,0.500525194301897,0.0517177171469989,0.118621977774622,0.0879264459830727
19455336,5.0876045,0.0,0.010214195,0.089540526,5.0876045,0.30996907,0.0,0.007714931,0.0068826014,0.30996907,11.552549,2408.2,0.0,6.33401,47.287693,2408.2,8.389657,34.8,0.4,7.127042,4.672148,34.399998,0.650686711210097,0.200158714573178,0.971701583778486,0.0001690637405772,0.125824617094865,0.279879872222938,0.131310564726241,0.688064513892298,0.0001660234754227,0.0783978001924879,0.184319252364807,0.093490456086621,0.423127191027889,0.0001625963931069,0.0466259302419499,0.122553405506067
ca33a5e7,2.261413,0.0,1.3848741e-05,0.023471642,2.261413,0.23796217,0.0,3.641049e-06,0.0029375388,0.23796217,27.701696,1770.2,0.0,6.8952065,56.967896,1770.2,21.074572,318.2625,0.0,3.234391,54.771755,318.2625,0.771274697404589,0.0347269897479869,0.440971298872804,7.81869537907672e-06,0.0034954074853279,0.0829560715527848,0.0226124317651711,0.283521404847227,2.60623179302557e-06,0.0021074655679209,0.0552385918055806,0.0166829163091536,0.183736401056113,1.42851192271741e-06,0.0019518392615897,0.038646912931565
92bb8516,5.037907,0.0,0.025592556,0.17097227,5.037907,0.7399988,0.0,0.012965492,0.041101977,0.7399988,65.47772,2615.2,0.0,6.75,273.4838,2615.2,11.95725,118.0,0.0,5.4418154,19.592634,118.0,0.0,0.271328138693083,0.77245608457985,0.0285189296953225,0.173043222834046,0.249823924184263,0.166395452205166,0.514370784711921,0.0242684045990851,0.103629852378941,0.147938299652463,0.148770988869092,0.400469027061609,0.0229885809004069,0.0972201000288717,0.113550399154293
2812951b,5.0860662,0.0,0.03274709,0.1876005,5.0860662,0.58728695,0.0,0.012390321,0.038258005,0.58728695,107.09547,2650.4,0.0,6.5271173,371.22772,2650.4,4.827224,586.0,0.0,1.9956529,12.462154,586.0,0.0,0.203169075828977,0.736614681438853,0.0163362727409246,0.090966564185995,0.237367309136819,0.165555423611536,0.611717716689842,0.0063295064966388,0.0701284857723917,0.181585270666493,0.178498696524687,0.532384372142001,0.0143699856418405,0.132758724287071,0.150975432220439
6b6467f4,3.42929,0.0,0.019748174,0.15994261,3.42929,0.24216251,0.0065596905,0.008269075,0.013029946,0.23560283,10.720336,266.0,0.0,4.8169737,15.887504,266.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.302758618624648,0.591867325388982,0.0136499118603145,0.302758618624648,0.408861454106267,0.163631216238718,0.317219414780589,0.0100430176968479,0.163631216238718,0.217206513398365,0.204670201854603,0.204670201854603,0.204670201854603,0.204670201854603,0.08296865913162402
9d6b1410,4.794266,0.0,0.01852173,0.20729922,4.794266,0.83411163,0.0,0.003211833,0.01988036,0.83411163,166.65791,2636.75,0.0,12.0,442.30542,2636.75,9.449001,33.03806,0.0,7.2893505,7.0263925,33.03806,0.129864071538274,0.56037350891225,0.921453079767525,0.0611756255694975,0.648550498976935,0.227950677592753,0.372171371827012,0.614863209635951,0.059326246406676,0.382901557598476,0.162582439058748,0.288302962938048,0.488137064326252,0.0568769667013031,0.254849784537717,0.130064927108607
22c72c4e,3.9221663,0.0,0.0,0.032017957,3.9221663,0.43424138,0.0,0.0,0.0026332869,0.43424138,5.6805773,2590.2,0.0,0.5,61.57542,2590.2,1.0239539,18.385687,0.3329442,0.5,2.5487792,18.052742,0.922052857834827,0.032046798388171,0.600264646625192,0.0,0.0009442272964065,0.122633944460887,0.0161590646100914,0.279641032953878,0.0,0.0008547915252119,0.0572440749480302,0.0115633760086769,0.191427296142273,0.0,0.0007733324750559,0.0392239415961116
b3b200af,3.1082764,0.0,0.009666918,0.08050621,3.1082764,0.3170352,0.0,5.6505996e-05,0.012601031,0.3170352,61.559803,2619.4,0.0,4.8,255.34248,2619.4,6.55943,78.8,0.0,4.1526947,6.4564447,78.8,0.0068600922028462,0.273909688553414,0.628805180712758,0.119114997575242,0.265041942319291,0.125485007136584,0.168195201848375,0.400635044047318,0.0676087899432181,0.147232380910702,0.0795126918729272,0.119793067658444,0.245253964631915,0.0453013883716006,0.117668610799061,0.0484823030963199
ebf30e46,4.4933815,0.0,0.031342205,0.16792475,4.4933815,0.8011764,0.0,0.014501424,0.049768906,0.8011764,113.015205,2663.25,0.0,4.1779914,393.4062,2663.25,16.44063,71.89889,0.0,3.8338008,24.38055,71.89889,0.0,0.201684872141368,0.676999416885277,0.0253028425077597,0.097212132702892,0.218727831450705,0.134043527333467,0.523590748162112,0.0186189786040611,0.0607915131271713,0.151047718980192,0.107472788136165,0.348294480686632,0.028889382952621,0.0582854199740622,0.0997999372738384
2a0b8386,3.8458238,0.0,0.0015162426,0.09371406,3.8458238,0.39265662,0.0,3.611247e-05,0.009927548,0.39265662,23.465973,2555.0,0.0,3.0,112.17115,2555.0,9.737514,63.857616,0.0,3.998537,12.299104,63.857616,0.380847178928467,0.234894417797766,0.667847851710394,3.40640553986304e-08,0.127235394054052,0.262067230955621,0.142529007175642,0.444295968675417,1.13546851328768e-08,0.0823577566571657,0.156108622329676,0.10861860829337,0.384033470019131,5.677342566438411e-09,0.0651515720643564,0.121784927912063
71c1b1d2,4.9897027,0.0,0.027192108,0.13160314,4.9897027,1.7539338,0.0,0.022085054,0.05658116,1.7539338,57.579117,2628.8,0.0,10.612026,210.39122,2628.8,30.226484,207.68558,0.0,14.573405,41.561047,207.68558,0.0,0.278189481732392,0.681159718226021,0.0387628984713653,0.242803673787663,0.181785799615807,0.187752273878823,0.470957092418232,0.0293280071716309,0.166513205335165,0.116507843787146,0.138064199561649,0.297120848003968,0.0244122784142938,0.133578228033012,0.074221029678921
e683d2c9,5.8746815,0.0,0.021659428,0.18939482,5.8746815,0.25335434,0.0,0.0049132844,0.01345945,0.25335434,18.9511,2453.0,0.0,3.2994084,83.10927,2453.0,1.3739374,2.289801,0.6058682,1.2814128,0.4744035,1.6839327,0.0,0.346708454310687,0.522649127819265,0.0329379198762278,0.484538315236568,0.27240056849866,0.230921218575451,0.411897256570551,0.032540627512046,0.248325771643754,0.190276251416956,0.155176838926167,0.279765843525922,0.0256365709641892,0.160128102288389,0.127136965709625
bebff291,4.267884,0.0,0.0048359837,0.098887935,4.267884,0.73406196,0.0,0.0025922274,0.015588529,0.73406196,32.986355,2617.0,0.0,4.5,172.21889,2617.0,7.0919385,104.8,0.0,2.730537,11.444325,104.8,0.285920051388477,0.235901321290102,0.611153365951031,0.0077688951006469,0.218816613324452,0.173176965458824,0.15580061659851,0.436842095905619,0.0070489168878541,0.152618157563802,0.120395214135502,0.119007093245499,0.333819049841905,0.0064002020769597,0.122789262757682,0.0931173910889201
